min_genes,max_genes,min_counts,max_counts,max_pct_mt,target_sum,n_top_genes,do_scale,max_value,n_pcs,svd_solver,n_neighbors,metric,resolution,random_seed,marker_coherence,cluster_stability,silhouette,cluster_balance,objective
1,100000,10,100000,20.0,1000,6000,True,10.0,60,randomized,50,euclidean,1.0,42,0.18115942028985504,0.8635800960334269,0.596616342663765,0.9251050305285288,0.543371568511576
1,100000,10,100000,20.0,1000,4000,True,10.0,60,randomized,50,euclidean,1.2,42,0.16025641025641027,0.8838172234155645,0.5937356799840927,0.9224789004796,0.540242757172012
1,100000,10,100000,20.0,1000,3000,True,10.0,40,randomized,50,euclidean,1.0,42,0.16666666666666666,0.8792607672834745,0.6215869262814522,0.915822473083693,0.5463445294163687
1,100000,10,100000,20.0,1000,4000,True,10.0,60,randomized,30,euclidean,1.5,42,0.15517241379310345,0.8285291677135108,0.5952846482396126,0.9353104692082344,0.5232156924000406
1,100000,10,100000,20.0,1000,4000,True,10.0,20,randomized,20,euclidean,1.0,42,0.1728395061728395,0.8438896014620787,0.6338551938533783,0.9357473985353478,0.5426484615319699
1,6000,10,100000,20.0,1000,4000,True,10.0,60,randomized,50,euclidean,1.2,42,0.154320987654321,0.9015807539912389,0.5953135713934898,0.9192893535048469,0.5431942708882826
1,100000,10,100000,10.0,1000,4000,True,10.0,60,randomized,50,euclidean,1.0,42,0.17424242424242425,0.9111703948868929,0.6045102179050446,0.9388356544812747,0.557833697192174
1,100000,10,100000,10.0,1000,5000,True,10.0,60,randomized,50,euclidean,1.2,42,0.15277777777777776,0.9234732994979166,0.6144402623176575,0.9228921589975779,0.5533303693237754
1,100000,10,100000,10.0,1000,4000,True,10.0,60,randomized,45,euclidean,0.8,42,0.18253968253968256,0.9066420980793629,0.6014114916324615,0.9392175004580849,0.5592125508119827
1,100000,10,100000,10.0,1000,5000,True,10.0,60,randomized,55,euclidean,0.8,42,0.15873015873015875,0.8888412828452505,0.6064339876174927,0.9319125767835156,0.5446225035474888
1,100000,200,100000,10.0,1000,4000,True,10.0,60,randomized,45,euclidean,1.0,42,0.15277777777777776,0.9127029993469207,0.6081085726618767,0.9156053550054706,0.5481042609481097
1,100000,10,100000,10.0,1000,3000,True,10.0,60,randomized,45,euclidean,1.0,42,0.16666666666666663,0.8629823775596854,0.6019943952560425,0.9159296286900709,0.5375532218547878
1,100000,10,100000,10.0,1000,5000,True,10.0,60,randomized,45,euclidean,1.0,42,0.15151515151515152,0.8819521807799905,0.6089167147874832,0.9398778951803802,0.5409628473155924
100,100000,10,100000,10.0,1000,4000,True,10.0,60,randomized,45,euclidean,0.8,42,0.20833333333333331,0.9069884713584765,0.5999657586216927,0.9373052389680134,0.5691535503620161
100,100000,10,100000,10.0,1000,4000,True,10.0,60,randomized,45,euclidean,1.0,42,0.15277777777777776,0.9036423974594441,0.6072324141860008,0.91458177160973,0.5451084903471175
